Clock Tick,Sursa_1,Sursa_2,Sursa_3,Sursa_4,Sursa_5,Sursa_6,Sursa_7,Sursa_8,Sursa_9,Sursa_10,Sursa_11,Sursa_12,Sursa_13,Sursa_14,Sursa_15,Sursa_16,Sursa_17,Sursa_18,Sursa_19,Sursa_20,Sursa_21,Sursa_22,Sursa_23,Sursa_24,Sursa_25,Sursa_26,Sursa_27,Sursa_28,Sursa_29,Sursa_30,Sursa_31,Sursa_32,Sursa_33,Sursa_34,Sursa_35,Sursa_36,Sursa_37,Sursa_38,Sursa_39,Sursa_40,Sursa_41,Sursa_42,Sursa_43,Sursa_44,Sursa_45,Sursa_46,Sursa_47,Sursa_48,Sursa_49,Sursa_50,Sursa_51,Sursa_52,Sursa_53,Sursa_54,Sursa_55,Sursa_56,Sursa_57,Sursa_58,Sursa_59,Sursa_60,Sursa_61,Sursa_62,Sursa_63,Sursa_64,Sursa_65,Sursa_66,Sursa_67,Sursa_68,Sursa_69,Sursa_70,Sursa_71,Sursa_72,Sursa_73,Sursa_74,Sursa_75,Sursa_76,Sursa_77,Sursa_78,Sursa_79,Sursa_80,Sursa_81,Sursa_82,Sursa_83,Sursa_84,Sursa_85,Sursa_86,Sursa_87,Sursa_88,Sursa_89,Sursa_90,Sursa_91,Sursa_92,Sursa_93,Sursa_94,Sursa_95,Sursa_96,Sursa_97,Sursa_98,Sursa_99
t1,,4,,,,,"91,37,5",,77,,94,14,21,"89,98,12,46",36,79,"57,63",,63,,13,14,,70,57,,,,90,"98,78",,"44,15",84,"1,54,79",,"58,43",,55,69,,,51,"91,36",32,,14,,,66,,27,73,23,,"69,6",,"25,50,62","36,31",,,"28,84",,19,15,,36,,16,"56,55,39","24,4,79",97,88,"90,52",77,,77,9,87,97,35,86,74,"56,51","33,40,53,56,88",74,"81,75,3",,"72,84","57,14,79","73,29","89,41,43",56,,"24,11",10,,"26,45,79,71","8,30",
t2,,70,,,,,"89,41,43",,74,,,"89,98,22",72,"35,79,20,57,91,30","58,66","97,34,70,84,89","50,62",,17,,60,"89,12",,4,"89,17,62",,,,,"14,87",,36,"40,53,79","70,95",,91,,69,,,,"83,27","89,66,7",,,"89,12",,,36,,,90,,,39,,67,"66,43,15",,,"40,88",,,32,,15,,,"48,92,38","89,2,84,94",26,,,76,,47,,,"45,71",12,56,"96,1","48,42,84,86",23,"96,1,99,77",,,"53,93,21,79","97,98,70,46,50,84,62",52,"57,14","48,83,69,86",,,,,"16,89,34,70",78,
t3,,24,,,,,"36,79",,"82,99,85",,,"57,91,79",,"70,7,43,78,80,50,84,25,62",31,"1,33,4,40,45,54,57,26,91",,,"57,18,52",,,"20,79",,,"18,14,79",,,,,,,"58,66","16,97,70",10,,41,,56,,,,,"37,5,79",,,"35,79,20,57,91",,,"58,43",,,29,,,,,,"32,49,91",,,72,,,44,,64,,,,"40,57,88,53",,,,,,,,,,"20,14","83,92,69",34,"88,81,61",,"34,76,47",,,"89,13,97,23","45,56,26,88,61,30",17,"17,12,22,25","75,3",,,,,"24,91,4,54",,
t4,,94,,,,,"97,34,66,15,84",,,,,"34,41,43,50,62",,"33,4,36,87,24,56,61",,"2,7,43,17,50,62,95",,,"73,25,50,62",,,"97,34,84,70",,,"16,34,12",,,,,,,"49,31","24,26",,,,,"48,83,92,86",,,,,"16,34,84,70",,,"97,34,7,43,80,17,25",,,31,,,,,,,,,"89,44,7",,,93,,,,,,,,,"72,17,25",,,,,,,,,,"46,89,22","51,55",79,28,,79,,,"57,60,14,71","72,86,69,78",57,"35,20,63",,,,,,7,,
t5,,11,,,,,"32,45,53,54,56,26,88",,,,,"1,67,36,54",,"66,69,15,48,86,28",,"18,37",,,67,,,"88,4,45",,,"35,20",,,,,,,,,,,,,81,,,,,"1,4,68,40,54,24,56",,,"5,71,18,52,54,26,63",,,,,,,,,,,,"57,5,14,79",,,,,,,,,,,,"18,52,93",,,,,,,,,,79,"42,6","16,70",,,"89,97",,,"25,50,22,98","75,3,93,87","89,25,50,62",,,,,,,"37,5",,
t6,,,,,,,"69,72,86,23,95",,,,,"58,66,15",,"32,49,75,55",,,,,,,,72,,,,,,,,,,,,,,,,,,,,,"74,83,86,92,94",,,,,,,,,,,,,,,"97,98,46,84,22,25,62",,,,,,,,,,,,,,,,,,,,,,"97,70",,68,,,"57,71",,,"67,30",,"91,67",,,,,,,,,
t7,,,,,,,"3,39,75,81,21,55,93",,,,,31,,"38,6",,,,,,,,21,,,,,,,,,,,,,,,,,,,,,"96,81,75,11",,,,,,,,,,,,,,,"33,8,53,88,26,61",,,,,,,,,,,,,,,,,,,,,,"24,26,4",,,,,"62,17,50,25",,,78,,"41,43,7",,,,,,,,,
t8,,,,,,,"13,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,"72,28",,,,,,,,,,,,,,,,,,,,,,,,,,,"52,63",,,,,37,,,,,,,,,
t9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
