Clock Tick,Sursa_0,Sursa_1,Sursa_2,Sursa_3,Sursa_4,Sursa_5,Sursa_6,Sursa_7,Sursa_8,Sursa_9,Sursa_10,Sursa_11,Sursa_12,Sursa_13,Sursa_14,Sursa_15,Sursa_16,Sursa_17,Sursa_18,Sursa_19,Sursa_20,Sursa_21,Sursa_22,Sursa_23,Sursa_24,Sursa_25,Sursa_26,Sursa_27,Sursa_28,Sursa_29,Sursa_30,Sursa_31,Sursa_32,Sursa_33,Sursa_34,Sursa_35,Sursa_36,Sursa_37,Sursa_38,Sursa_39,Sursa_40,Sursa_41,Sursa_42,Sursa_43,Sursa_44,Sursa_45,Sursa_46,Sursa_47,Sursa_48,Sursa_49,Sursa_50,Sursa_51,Sursa_52,Sursa_53,Sursa_54,Sursa_55,Sursa_56,Sursa_57,Sursa_58,Sursa_59,Sursa_60,Sursa_61,Sursa_62,Sursa_63,Sursa_64,Sursa_65,Sursa_66,Sursa_67,Sursa_68,Sursa_69,Sursa_70,Sursa_71,Sursa_72,Sursa_73,Sursa_74,Sursa_75,Sursa_76,Sursa_77,Sursa_78,Sursa_79,Sursa_80,Sursa_81,Sursa_82,Sursa_83,Sursa_84,Sursa_85,Sursa_86,Sursa_87,Sursa_88,Sursa_89,Sursa_90,Sursa_91,Sursa_92,Sursa_93,Sursa_94,Sursa_95,Sursa_96,Sursa_97,Sursa_98,Sursa_99
t1,66,23,"66,15",39,"88,99,47","1,17",71,,,,,"68,38","72,17",93,19,"16,9,36,71",,"1,34,12,5","16,28","97,35,14","59,50,51",,"82,62",66,,81,"51,76","4,94",,,"4,78","33,87,79","66,83,94","89,31","17,74,67,28","18,19,13",80,48,"66,11","3,9,74,11,57,62",80,93,,"66,21,79,47",81,"68,14,52,90,93","96,19","4,76,16,49,63",37,"53,71",,"57,26,20","69,45","49,54","91,21","88,94",76,62,4,"66,68",22,"76,30","24,99,22","47,31","77,61",,"32,49,51",36,"59,76",,"40,98,75,71","56,93",12,17,93,"26,20","26,69,47","3,62","74,14,17,59,30","33,43,31",,,"9,2,92",65,,,"93,6",45,"48,63,55",95,"45,95","1,12",82,"86,71","99,57,27","80,89,47",40,,"59,13","4,94"
t2,38,2,"65,38,71,91,43,45,82,23,59,31",18,"48,95","73,59","56,31,15",,,,,"59,76","73,5,78","41,71","51,35","93,6,47",,"36,68,74,83,84,89","24,47","33,83,78","66,77,13,26,60",,"24,57,92,5","0,38",,,69,"32,88,30,47",,,"88,74","74,45,94","0,64,35,67,99,43,12,75,87,59",95,"1,36,12,78,20,89","16,50,14,71",95,"88,65,11","2,39,43,51,23","34,67,68,38,59,42,77,78,84,22,24,27",,"27,13,71",,"32,33,38,77,16,31",,"41,12,13,76,16,88,59,95","97,92,63","56,58,69,90,46,24,26",41,"43,21,6,31",,"39,72,75,22,88,28,94","76,93,87","56,91,47","12,71","32,4,87,57,63","26,51","99,27,77","88,27,47","0,12,45,51,60",26,,"16,56,52,58","66,43,44,76,78,87,95","59,3,30",,"71,47,83,53,57,94","80,51","98,20,56,26,61",,"96,65,6,15,79,49,80,83,21","45,34,27,29","17,5","1,12,5",27,"72,59,51,88","51,43,44,52","57,27,22,39","34,66,5,91,20,93,55,24,27,60,61","35,71,40,74,46,87,89,63",,,"8,39,15",15,,,"27,13",,"0,1,37","96,90,47","68,87,47","84,23",94,"81,43,79","2,4,68,59,62","33,67,44,77,16","43,20",,"66,35,50,91,61","47,82,27,30,63"
t3,,15,"1,6,40,10,11,77,79,48,17,18,83,92,93,24,60,61,94",,90,"98,77,24,58,88","33,2,66,9,87,91,29",,,,,"98,51,20,57,26,61","74,14,58,59,92,62","37,43,15,79,52,21","33,18,36","38,44,13,49,86,27",,"96,33,67,39,76,45,15,18,51,53,25,60,95","44,77,49,62,95","32,65,75,12,46,17,56,89","32,98,35,67,38,7,49,22,93",,"96,94,28,78",58,,,2,"67,36,8,76,77,55,61,95,63",,,"73,33,93,63","32,64,99,68,42,14,82,93","33,34,70,72,45,78,79,17,20,55,24,58,91,60,31","90,47","5,80,51,84,59,92,61,95,31","64,6,78,49,54,90,27,93,31","96,47","4,90,39,73,26,63","71,15,18,19,20,82,57","32,66,99,36,45,14,47,17,83,20,26,60,93,30",,"62,70,21,14",,"64,36,37,46,59",,"66,4,46,15,47,17,80,24,60,61","88,82","0,96,2,99,71,19,88,28,29",52,"86,15",,"32,64,34,99,11,48,56,27,60","13,46,51,86,56,58","34,35,4,38,22","43,19,84,31","66,67,68,27,62,31","11,36","26,4,93,47","38,73,76,14,16,55,90,63","67,5,11,76,19,57,91,93",51,,"18,4,78,47","0,96,40,74,45,79,80,51,21,26","57,84,78",,"65,35,99,12,82,21,25,59,93,31","26,11,20,95","40,72,51,22,28",,"11,43,47,25,95,31","99,10,14,51,87","78,62","36,83,84,23,91","51,94","66,98,36,68,11,78,17,55,57","66,3,99,40,41,11,15,19","4,9,74,14,51,60","0,1,2,35,4,64,67,99,40,11,51,22,23,86,28,94","96,34,4,70,76,45,13,78,83,88,95",,,"65,71,11,18,57","9,36,45,71",,,94,,"58,66","4,77,46","58,4,60",,"64,27","18,44,47","97,66,39,45,15,17,24,91,63","32,64,81,26,62,31","75,15",,"1,33,43,51,54","38,78,15,51,93,88,61"
t4,,"43,36","12,16,20,22,28,30,41,47,49,51,53,55,62,64,67,68,73,78,88,96,99",,45,"62,87,22,55","32,39,43,46,79,82,58",,,,,"66,39,75,94,27,28,62","66,99,91,77,19,22,87,57,27","33,2,36,40,45,47,48,18,54,55","32,74,43,79","81,66,62,94",,"65,66,3,90,7,10,43,47,16,79,81,82,87,56,57,26,28","27,99,3,94","2,36,5,68,70,71,72,20,94","2,37,41,11,47,83,24,89,56",,"32,40,17,49,31",87,,,,"64,34,3,68,11,80,51,26,60",,,"35,46,79,17,89,58,27,31","66,67,36,9,41,13,77,78,16,58,27","1,7,11,14,22,26,28,50,51,54,56,61,62,63,68,73,74,88,89,93","16,88,77","33,66,3,71,40,77,47,82,24,27,30","66,4,91,46,83,53,24,56,59,61,94","40,43,4,76","72,47,18,19,57,58,95,31","35,67,72,74,45,16,50,28,94","0,2,98,4,7,72,43,44,75,76,49,50,51,52,88,58,95",,"98,99,5,19,22,29",,"96,98,68,5,41,80,17,24,61",,"64,96,38,73,44,49,22,27,30,31","48,2,55","34,35,66,40,43,14,15,95,55,94,31",45,"16,93",,"65,2,67,68,6,7,77,78,17,49,61,52,93,58,29,62","27,73,11,78","13,24,58,88,60","66,35,3,14,47,15,78,51,87","2,11,76,46,14,78",32,"71,72,45,22,30,95","37,74,11,78,17,19,26,94,31","36,71,39,74,86,89,62",36,,"97,38,74,43,14,28,61,63","33,65,42,75,14,18,19,55,88,90,93","67,74,51,56,92,94,31",,"2,4,68,70,9,41,45,78,79,17,18,81,84,54,24,91,92","89,50,68,39","65,66,11,82,18",,"10,48,81,55,87,89,90","94,20,36,76","74,14,24,27,92","32,66,3,80,59","66,76,82,87,55,57","0,1,32,67,6,38,74,12,76,14,48,49,23,94,92,62,31","0,32,2,65,4,96,38,39,71,91,20,84,59,63","66,68,7,42,45,15,19,88,59,93","32,65,36,6,48,19,83,87,89,26","64,97,98,67,99,12,14,47,48,15,80,52,53,90,92,93",,,"38,6,48,56,28,93,62,31","68,8,10,14,80,19,93,31",,,"64,57,99,55",,"49,59,4","19,62,58,59,30,31","97,99,7,88,30",,"4,83,51,93,62","74,4,28,39","1,3,35,5,71,9,11,12,78,47,49,18,51,22,54,87,90,88","98,36,39,78,83,22,86,24,25,87,94","2,45,70",,"47,15,79,18,26,31","2,90,73,43,45,26,92,31"
t5,,"80,5,71","34,4,5,36,37,72,90,44,52,57,26",,10,"74,11,56,27,94","96,67,73,18,19,22,57",,,,,"32,2,4,9,74,43,83,23","64,1,2,35,67,97,38,71,43,15,82,51,54,23,26","65,66,35,68,38,11,14,49,53,87,89,91,28","2,67,34,71,40","32,39,51,57,59",,"0,64,2,38,40,44,77,78,49,21,85,23,59,63,94,31","32,39,55,58,93","1,98,99,40,76,15,79,80,51,23,26,59","64,65,96,12,44,76,78,16,55,29,95",,"1,33,43,12,46,79,83,20,87,56",,,,,"98,38,39,6,72,74,83,20,22,57,59",,,"34,99,43,12,83,19,91","34,4,37,38,15,17,18,83,62,59,61,30","5,39,41,76,13,48,49,19,21,85,92","18,26,55","0,32,2,4,38,43,76,15,16,49,79,52,22,94,62","96,75,76,77,15,17,22,87,88,58,62","65,99,58,70,71,46,15,79,18,26,27,30","0,35,74,43,12,76,14,46,16,79,20,87","32,33,64,99,10,42,12,78,83,87,55,24,91,93","70,71,40,13,81,82,21,55",,"97,34,35,4,36,46,52,56,26,94",,"34,73,12,45,13,76,78,83,60,95",,"33,71,11,81,83,53,92,94","65,1","33,37,38,70,74,45,79,80,17,18,20,21,87","10,90","24,18,90,13",,"1,66,3,71,41,73,74,12,45,76,15,53,86,24,59,92,30","4,38,6,39,14,17,55,59,92","67,90,73,87,26,28,63","2,4,9,11,16,17,18,20,23,26,27,36,38,39,45,49,52,57,61,63,76,77,82,83","33,45,17,51,23,56,92","66,67,94","6,8,12,14,15,79,49,80,82,20,24,90,60,61","66,35,68,6,72,42,12,48,18,51,56,57,59","99,6,15,79,49,18,21,56,27,31","32,5",,"64,66,40,59,42,15,79,19,27,31","16,35,28,13","32,33,34,66,36,96,71,42,76,82,22,87,26,27,63",,"96,1,3,5,8,40,73,74,75,15,16,52,58,27,61,30","33,12,45,13,57,62","35,38,9,74,43,15,48,49,55,23",,"37,5,45,88,94","32,64,5,40,47,59,28","16,51,22,93,94","68,38,40,77,49,20,31","2,67,37,9,11,45,26,31","64,33,2,34,69,70,71,42,45,47,18,82,83,22,56,93","1,36,58,72,12,48,82,83,24,57,56,61","97,2,35,71,10,11,43,87,23,26,31","96,33,72,76,77,15,80,53,58,63","65,68,37,38,6,69,41,73,77,16,49,82,19,86,59,62",,,"5,74,45,78,20,22,86,87,29","97,11,13,78,27,60,95",,,"37,39,77,52,88,58,62",,"97,99,77,47,17,24,61","97,98,39,8,71,91,78,79,17,51,20,22,57,27,61,63","2,8,19,55,94,63",,"35,67,99,39,74,11,12,45,53,86,25,58,30,57","33,34,78,20,55","6,8,16,19,26,36,43,44,48,52,53,56,61,70,74,79,84,93,95","96,65,35,6,59,82,51,56,27,28,61","98,68,10,12,14,52",,"4,71,74,77,46,16","32,66,98,69,71,40,75,79,16,95"
t6,,"56,93","56,97,80,69",,25,"99,38,71,39,29","35,74,51,59,60,94",,,,,"34,71,42,47,15,79,82,88,93","33,34,98,36,37,69,9,11,76,13,45,47,16,79,21,60,61,94","32,1,39,12,78,51,83,23,57,59,60,31","99,15,17,82,20,56","2,68,74,11,19,61",,"37,69,11,19,20,58,27,61","0,66,71,41,74,13,57","96,34,66,4,43,11,77,82,55,57,91,31","1,5,74,46,14,90,94",,"71,72,76,45,18,51,50,84,89,91",,,,,"65,35,9,75,17,53,56,25,62",,,"67,71,40,72,14,15,18,51,52,84,56,25,59,28,94","96,35,8,12,55,22,54,24,63","71,37,46,47","0,35,37,72,43,75,22","64,65,97,99,69,90,39,45,46,53,55,56,58","0,65,99,36,5,68,39,45,47,82,20,26,92","0,33,2,6,75,77,78,16,48,19,51,21,61,56,29,94,31","64,33,68,5,69,13,45,78,83,21,55,24,56,91,28","96,1,4,68,75,13,46,79,52,53,54,86,25,92,61,62,31","65,35,6,12,15,80,19,86,56,25,92,94",,"32,33,3,67,72,74,45,15,17,49,51,83,87,55,88,91,28",,"65,67,90,74,75,14,50,52,84,22,56,26,91",,"35,6,74,21,54,55,86,25,57","40,91","36,5,68,41,10,11,12,75,78,51,54,93",,"98,35,74,50,54,59,28",,"0,33,96,4,70,42,43,14,46,47,82,83,84,91,31","96,98,3,37,77,53,88,57,63","18,51,36,45","6,8,22,28,41,46,48,56,59,65,67,68,69,72,75,88,90,93,94,98,99","1,34,73,10,15,19,52,90,93","64,2,38,43,82,55,57,27,60","2,66,70,40,9,43,75,78,16,51,84,54,59,94","33,34,36,71,43,49,61,83,53,23,29,62","34,43,46,47,16,78,53,87,63","94,2,62",,"32,98,68,71,45,46,77,17,51,83,87,57,91,94","24,50,15","2,4,5,69,45,46,47,79,19,83,24,60,95",,"36,90,39,43,77,14,46,80,20,89,26","5,74,77,14,15,84,22,90,93,31","33,2,34,37,39,71,78,47,83,21,53,94",,"99,4,36,41,73,52,27,93","2,66,4,70,77,17,24,91,61","32,64,47,82,19,87,55,26","33,70,71,75,78,47,79,87,28","32,33,34,36,69,39,8,14,15","96,35,99,40,43,13,46,15,77,52,53,24,25,28,29,95","34,67,70,9,73,75,78,55","99,75,76,79,49,18,82,21,91","69,46,16,49,56,95,31","3,58,11,17,22,24,57,26,91,60,94",,,"36,40,72,42,50,52,94","96,6,39,7,56,90,59",,,"69,73,74,48,18,22,90",,"2,34,73,44,19,22,62","1,34,3,56,5,68,70,76,14,15,49,82,24,26,88,94","32,1,64,37,9,82,23",,"2,68,70,42,15,81,84,87,89,91","0,35,40,11,14,50,56,88,92,30","96,98,69,40,41,42,72,75,76,80,81,89","68,71,40,11,76,15,48,17,20,53,57,30","3,59,17,84,26,27",,"64,34,42,76,19,24","67,70,6,76,83,20"
t7,,"74,76,45,49,27,29",29,,,"2,3,34,70,19,52,21","36,68,11,77,78,55,24,61",,,,,"48,41,22,95","32,70,10,44,46,48,49,18,50,55,89,90,93,31","3,77,46,22,94,27,30","4,9,12,45,22,59,28,94","97,99,69,76,46,78,23,55",,"4,72,46,14,52","33,35,68,37,6,51,52,23,59,31","0,67,38,74,47,48,92,22,27,28,30,95","36,17,18,57,31",,"36,90,70,39,74,11,47,19,21,26,59,95",,,,,"1,99,5,12,13,78,15,82,19",,,"96,3,36,70,39,41,45,77,80,20,87,57,26,60","72,50,91","4,77,44,15","40,48,19,20,83,56,60","96,6,9,10,14,48,18,19,83","34,67,40,10,74,12,48,80,51,52","64,35,74,14,17,49,82,53,22,86,87,57,92","89,1,34,71,54,22,25,61","5,6,70,59,73,76,49,81,58,27","64,96,97,46,87,91,29",,"1,66,37,73,10,43,12,47,20,53,84,24,31",,"51,3,71,55",,"91,18,67",70,"32,89,59,91,50,52,62,57,27,92,30",,"34,66,78,20,91,60",,"98,16,18,21,54,87,95,63","67,40,83,54,31","68,15,19,20,57","32,33,37,70,40,13,24,89,60","71,9,74,13,25","68,39,40,77,14,15,22,59,92,61","32,65,96,37,69,18,21,55,91,31","5,70,39,75,15,80,21,93","96,40,28,94,95","49,66,82,57",,"33,2,35,5,39,12,13,76,49,55,26","36,71,54,59,62","38,12,14,15,16,49,80,90,93",,"33,98,72,76,19,95","1,3,71,78,79,16,17,18,86,27","32,64,67,4,99,14,17,62,25,92,63,30,57",,"34,3,13,51,58,30","0,1,98,69,73,78,82,22,23,30","2,67,37,38,9,44,77,95,31","98,74,43,16,18,21,56,89,93,95","65,5,16,18,19,52","65,3,41,80,21","98,8,74,92,88,28,94,31","33,69,46,52,53,54,56,92,61,94","52,29,71","0,39,72,75,55",,,"96,3,99,69,41,80,54","34,3,40,16,20,22,88,57,92",,,"65,35,42,45,16,56,60",,"67,74,51,57,26,27,60","64,2,99,40,72,12,45,84,53,87,55,60,29","67,38,77,15,48,83,91,61",,"65,66,71,75,16,23,59","65,90,8,45,48,19,54,26","67,46,83,20,92","70,73,43,55,91","66,72,77,88,57,60,61",,"99,28,22,68","96,34,36,68,11,46,60,25,28"
t8,,"66,70,42,46,14,47,18,51,55",,,,"66,67,40,45,46,84,54,23","37,5,45,62,26,28,30",,,,,"56,89","96,65,75,83,88,95","64,99,4,8,82,24,56,61,62","97,66,98,68,5,47,84,24,88,30","0,96,4,37,26,31",,"97,99","1,2,69,38,11,46,54,91,61,63","37,39,73,93,88,61,63","68,39,71,73,43,15,80,87,63",,"97,66,98,9,15,88,93",,,,,"2,70,45,46,16,52,58,91,92",,,"32,98,37,10,75,76,50,92","1,26,20","9,3","97,34,67,70,7,71,46,59","35,11,63","32,43","34,66,68,39,73,13,81,83,93","67,99,81,23,93,62","69,40,77,14,47,17,26","1,33,16,54,61",,"0,38,40,16,18,50,54",,"0,1,11,19,27",,"32,1,28,36","98,75","60,61",,"1,67,75,51,56",,"90,35,37","32,65,36,70,12,80,50,25","97,39,71,43,75,16,50,82,59,62","96,50,7","98,70,39,43,81,21","98,3,70,45,78,47,16,17,18,80,20,91,62","38,41,48,83,52,87,88,28","3,9,45,13,20,54,91","80,83,55,24,92","67,71,43,47,59",,"69,37,72,11,75,50,88,89","37,5,53,56,57,91,61","40,91,72,86",,,"64,34,73,43,47,81,19,56,91,30","96,8,73,12,77,16,52,24,27,31",,"0,8,74","8,60,55,15","3,39,41,15,57,90","96,34,35,41,42,54,26,27,29","1,3,99,12,46,47,48,83,24,62","54,39","46,79,87,93,30","32,64,96,6,41,50,83,55,29","41,3,79","1,66,20",,,"83,84,37,95","64,99,75,18,51,84",,,"67,68,71,40,76,14,78,83",,"32,33,36,68,72,83,89,94","32,83,52,23","89,65,66,35,3,36,96,11,12,43,54,57,59",,"6,43,47,17,18,19,49","97,98,37,75,46,51,52,83,24","25,82,60,33",0,"32,64,4,39,7,78,49,22,94,90,62",,"94,12,20,62","33,18,19,22,56,59"
t9,,"33,38,75,44,77,88,57,94",,,,"0,32,12,14,50,20,57,93","98,99,72,12,88,89",,,,,,"25,4,20,63","16,9,29,63","0,38,70,76,13,77,95,23,57,62,31","41,77,83,54,58,30",,62,"96,76,15,82,19","90,3,45","3,45,79,21,58,91,92",,"0,86",,,,,"0,66,69,73,14,18,93,87,90,29,31",,,"66,68,13,38","88,51,76,5","52,84","32,96,99,6,79,21,57",68,"2,79","32,41,44,25,60,62","32,36,41,86,60","34,3,22,63","31,23",,"64,80,96",,"97,93,62,39",,"2,5",59,7,,"17,83,22,89,26,27",,,"68,5,71,48,81,95","2,99,5,9,79,93",,"26,75,12,29","35,5,74,12,52,54,90,29,95,63","64,35,11,53","1,8,50,52,28","32,1,64,73,88","98,4,76,79,18,21",,"48,54,6,95","48,1,34,17","1,6,70",,,"40,25,58,28","69,5,54,88,95",,"66,39","43,37","68,59,52,84,91","37,76,46,50,53,94,62","35,4,70,53,54,23,88,25,58","9,91","33,45,13",16,,"50,51,28",,,"64,35,47,53,25","26,52,66,94",,,"70,75,47,80,17,19,20,53,25,59,92,31",,"80,35,87","65,66,67,36","33,5,39,72,13,80,51,20,52,92,62",,"1,97,5,73,44,46,78,28,95","96,67,70,41,12,13,53,59,31",,,"99,36,71,74,16,83,85,24,30,63",,"32,5,70,39,17,84,57","89,97,35,39,74,77,57,29"
t10,,"3,39,73,79,81,82,87,26,59",,,,"72,41,83,86,28","52,95,84",,,,,,"28,30",88,"96,1,39,11,46,93,89,26,27,29","64,35,3,8,12,53,87",,24,"65,40,9,14,26,92",,"33,4,10,52,84,54",,81,,,,,"33,79,71,41",,,11,"56,90",,"2,4,36,39,94",60,,"59,52,7","66,51,94","88,84",,,"77,61,95,92",,4,,23,"24,17,66,20",,,"64,33,96,5,72,73,76,77,62",,,"89,19,21,47","66,8,41,12,17,52,23",,84,"1,34,99,4,41,42,84,88,93","19,68,13",99,"4,77,48,90,61","97,69,13",,"53,21,86",,23,,,"65,83,70",,,"57,2","48,18,79","1,66,99,11,45","99,69,82,19,22,55,57","97,73,10,50,21,90,29",,"90,35","24,90",,36,,,"77,13,49,81,19,61","32,98,38,41,43,49,87,23",,,"33,66,97,36,98,38,46,79,49,81,51,82,87,29,95",,"40,95,31",43,"98,73,74,46,50,27,31",,"34,76,20,24,88,31","32,66,68,77,17,49,57,91,60",,,"65,8,47,79,19,51,21,54,25,31",,"73,3,36,29","3,5,55,91,62"
