network,infection_probability,source_vertex,mean_total_infected,median_total_infected,variance_total_infected,std_total_infected,skewness_total_infected,min_total_infected,max_total_infected,mean_final_tick
graf_generat_100_1000,0.01,65,1.53,1.0,1.07989898989899,1.039181884897437,4.189365814492994,1,9,1.43
graf_generat_100_1000,0.01,64,1.42,1.0,0.9531313131313133,0.9762844427375217,2.987354107947214,1,6,1.35
graf_generat_100_1000,0.01,92,1.42,1.0,1.0743434343434342,1.036505395231223,3.3560235409740513,1,7,1.36
graf_generat_100_1000,0.01,22,1.39,1.0,0.4221212121212119,0.6497085593719787,1.660151512586728,1,4,1.37
graf_generat_100_1000,0.01,87,1.39,1.0,0.6039393939393941,0.7771353768420236,2.747602521824207,1,5,1.35
graf_generat_100_1000,0.01,68,1.38,1.0,0.6622222222222223,0.8137703743822469,2.9794025930375643,1,6,1.34
graf_generat_100_1000,0.01,3,1.37,1.0,0.578888888888889,0.7608474807008886,2.2072547682651433,1,4,1.33
graf_generat_100_1000,0.01,31,1.37,1.0,0.5586868686868691,0.7474535896541464,3.2714099192850266,1,6,1.34
graf_generat_100_1000,0.01,42,1.37,1.0,0.5788888888888888,0.7608474807008885,2.4880741992185276,1,5,1.31
graf_generat_100_1000,0.01,49,1.36,1.0,0.6165656565656563,0.7852169487254184,2.5848091702766314,1,5,1.29
graf_generat_100_1000,0.01,5,1.35,1.0,0.5126262626262627,0.7159792333764037,2.0619655586849035,1,4,1.32
graf_generat_100_1000,0.01,21,1.35,1.0,0.43181818181818177,0.6571287406727709,1.8824638882370344,1,4,1.29
graf_generat_100_1000,0.01,33,1.35,1.0,0.5126262626262624,0.7159792333764035,2.2304612121014435,1,4,1.3
graf_generat_100_1000,0.01,35,1.35,1.0,0.573232323232323,0.757121075675696,2.8765803726391947,1,5,1.3
graf_generat_100_1000,0.01,96,1.35,1.0,0.5328282828282829,0.7299508769967216,3.480208273458789,1,6,1.34
graf_generat_100_1000,0.01,99,1.35,1.0,0.39141414141414144,0.6256309946079569,1.6004908073999708,1,3,1.32
graf_generat_100_1000,0.01,71,1.34,1.0,0.5903030303030302,0.7683118053909039,3.2830403943268953,1,6,1.28
graf_generat_100_1000,0.01,43,1.33,1.0,0.5061616161616163,0.7114503609961951,2.68469972114153,1,5,1.32
graf_generat_100_1000,0.01,45,1.33,1.0,0.5465656565656566,0.7393007889659368,2.5976612957087304,1,5,1.27
graf_generat_100_1000,0.01,37,1.32,1.0,0.46222222222222226,0.6798692684790381,2.256371132367996,1,4,1.31
graf_generat_100_1000,0.01,51,1.32,1.0,0.4420202020202021,0.6648459987246687,2.2697138710643388,1,4,1.31
graf_generat_100_1000,0.01,98,1.32,1.0,0.44202020202020215,0.6648459987246687,2.6905924260013565,1,5,1.28
graf_generat_100_1000,0.01,26,1.31,1.0,0.6201010101010102,0.7874649262672022,3.312425084737692,1,6,1.25
graf_generat_100_1000,0.01,52,1.31,1.0,0.5796969696969696,0.7613783354528612,3.6114537209960473,1,6,1.27
graf_generat_100_1000,0.01,75,1.31,1.0,0.4382828282828284,0.6620293258480536,2.332717560044145,1,4,1.3
graf_generat_100_1000,0.01,2,1.3,1.0,0.3333333333333334,0.5773502691896258,1.7995333065650665,1,3,1.27
graf_generat_100_1000,0.01,6,1.3,1.0,0.4545454545454544,0.674199862463242,2.3812555686456838,1,4,1.26
graf_generat_100_1000,0.01,15,1.29,1.0,0.3089898989898989,0.5558685986722932,1.7971620130400263,1,3,1.28
graf_generat_100_1000,0.01,27,1.29,1.0,0.38979797979798,0.6243380332784316,2.4982825403268905,1,4,1.28
graf_generat_100_1000,0.01,50,1.29,1.0,0.308989898989899,0.5558685986722932,1.7971620130400259,1,3,1.28
graf_generat_100_1000,0.01,74,1.29,1.0,0.6524242424242425,0.8077278269468264,3.762495360092764,1,6,1.24
graf_generat_100_1000,0.01,76,1.29,1.0,0.3291919191919191,0.5737524894864676,2.1941953578757873,1,4,1.26
graf_generat_100_1000,0.01,97,1.29,1.0,0.4302020202020201,0.6558978733019494,2.904288786882906,1,5,1.26
graf_generat_100_1000,0.01,23,1.28,1.0,0.4056565656565658,0.6369117408688317,2.316625235769503,1,4,1.26
graf_generat_100_1000,0.01,29,1.28,1.0,0.6682828282828281,0.8174856746652067,4.532379235419334,1,7,1.23
graf_generat_100_1000,0.01,34,1.28,1.0,0.6480808080808079,0.8050346626579553,4.897672428202132,1,7,1.24
graf_generat_100_1000,0.01,36,1.28,1.0,0.5470707070707072,0.7396422831820171,3.9306894683895415,1,6,1.26
